q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Somewhat worse,Very bad time,Very bad time,Don't know VOL, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,65-69,65,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,2.15405980939929,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go down,15, ,Prices will go up, ,10,Rates will remain about the same,Somewhat easy,Rent,Buy, ,About the same vs. twelve months ago,25-29,27,25-29,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.305289567002964,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Don't know VOL,Somewhat better,Somewhat bad time,Somewhat good time,Don't know VOL, , ,Prices will go up, ,10,Rates will remain about the same,Don't know VOL,Own your home outright and do not have any debt on it,Rent, ,Significantly higher now,65-69,65,65-69,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Male, , ,.393526554215125,Jun-2022 (26724),Division 3,Michigan,Michigan,General Population
Wrong track,Much worse,Very bad time,Very bad time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,55-59,58,55-59,Married or have an unmarried partner,Other (DO NOT READ: include refused here),"$150,000-$199,999",Male, , ,.424789191580033,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Right track,Stay about the same,Somewhat good time,Very good time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,50-54,51,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Male, , ,.187015446724162,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,15,Rates will go up,Somewhat easy,Live with someone else and don't pay for housing,Buy,Not very concerned,Significantly higher now,40-44,42,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,.191491469094602,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Much better,Somewhat bad time,Somewhat good time,Prices will go up, ,7,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Very concerned,Don't know VOL,50-54,54,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.773066526294137,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go up, ,10,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,40-44,44,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.410325123931076,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Right track,Much better,Very good time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,80,75+,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$75,000-$99,999",Male, , ,.467708830585227,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Stay about the same,Very good time,Very good time,Prices will go down, , ,Prices will go up, ,10,Rates will go up,Very easy,Rent,Don't know VOL, ,Significantly higher now,75+,89,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,1.0075673162365,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Much worse,Very bad time,Somewhat good time,Prices will go down,20, ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly higher now,40-44,40,40-44,Married or have an unmarried partner,Don't know VOL,Don't know VOL,Female, , ,.236038772623733,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL,Not at all concerned,About the same vs. twelve months ago,55-59,58,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,1.01529172357799,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Somewhat better,Somewhat good time,Somewhat good time,Prices will go up, ,20,Prices will go up, ,15,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,50-54,52,50-54,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Male, , ,.382772448155401,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Much better,Very bad time,Somewhat bad time,Prices will go up, ,20,Prices will go up, ,10,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,18-20,19,18-20,Married or have an unmarried partner,American Indian or Alaska Native,"$200,000+",Female, , ,1.63884863375254,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Much better,Somewhat good time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, , ,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Rent,Not at all concerned,Significantly higher now,55-59,56,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,1.42586582826826,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go up, ,5,Prices will go up, ,5,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,78,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Male, , ,1.0296885754331,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat bad time,Prices will go down,5, ,Prices will go up, ,3,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,70-74,71,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.473689516359483,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Somewhat better,Somewhat bad time,Very good time,Prices will go up, ,10,Prices will go up, ,5,Rates will remain about the same,Somewhat easy,Live with someone else and don't pay for housing,Rent, ,Significantly lower now,60-64,60,60-64,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.42606620239899,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Right track,Much better,Somewhat good time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,65-69,65,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.369739836104072,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Very difficult,Rent,Rent, ,About the same vs. twelve months ago,60-64,63,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,1.78455579283488,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Wrong track,Much worse,Very bad time,Somewhat bad time,Prices will go up, , ,Prices will go up, ,15,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,77,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.43831974893962,Jun-2022 (26724),Division 4,Iowa,Iowa,General Population
Right track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,10, ,Prices will go up, ,5,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,45-49,49,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Female, , ,.683552340459389,Jun-2022 (26724),Division 3,Wisconsin,Wisconsin,General Population
Don't know VOL,Don't know VOL,Somewhat good time,Very good time,Prices will go down, , ,Don't know VOL, , ,Rates will go up,Don't know VOL,Rent,Rent,Not very concerned,About the same vs. twelve months ago,25-29,26,25-29,Single,Middle Eastern,"$50,000-$74,999",Male, , ,.528317574797706,Jun-2022 (26724),Division 3,Wisconsin,Wisconsin,General Population
Wrong track,Much worse,Somewhat bad time,Somewhat bad time,Prices will go down,3, ,Prices will go down,2, ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,75+,76,75+,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.912523014412577,Jun-2022 (26724),Division 3,Wisconsin,Wisconsin,General Population
Right track,Stay about the same,Somewhat good time,Very good time,Prices will go up, , ,Prices will go up, , ,Don't know VOL,Don't know VOL,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL, ,About the same vs. twelve months ago,70-74,73,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.42984075819943,Jun-2022 (26724),Division 3,Wisconsin,Wisconsin,General Population
Wrong track,Much worse,Very bad time,Very bad time,Prices will remain about the same, , ,Prices will go up, ,10,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Somewhat concerned,Significantly lower now,30-34,32,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,1.31345467725815,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Somewhat good time,Somewhat good time,Don't know VOL, , ,Prices will go up, ,10,Rates will go up,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent, ,Significantly lower now,55-59,57,55-59,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Male, , ,.480075822461701,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Somewhat bad time,Somewhat good time,Prices will go down,5, ,Prices will remain about the same, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent,Not at all concerned,Significantly lower now,50-54,51,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,.864952499050014,Jun-2022 (26724),Division 3,Wisconsin,Wisconsin,General Population
